prev_pid,prev_name,prev_vruntime,prev_sum_exec_runtime,next_pid,next_name,next_vruntime,next_sum_exec_runtime
199,systemd-journal,2239710308,6056867063,0,swapper/0,0,0

0,swapper/0,0,0,2626,gmain,102773124102,553390071

0,swapper/1,0,0,2623,nautilus,76055698596,29538064091

2623,nautilus,76055843561,29538209056,0,swapper/1,0,0

0,swapper/1,0,0,2623,nautilus,76055843561,29538209056

2623,nautilus,76055922505,29538288000,0,swapper/1,0,0

0,swapper/1,0,0,2623,nautilus,76055922505,29538288000

2623,nautilus,76055960336,29538325831,0,swapper/1,0,0

0,swapper/1,0,0,2623,nautilus,76055960336,29538325831

2623,nautilus,76056137007,29538502502,0,swapper/1,0,0

0,swapper/1,0,0,2623,nautilus,76056137007,29538502502

2623,nautilus,76056268658,29538634153,0,swapper/1,0,0

0,swapper/1,0,0,2623,nautilus,76056268658,29538634153

2623,nautilus,76056308324,29538673819,0,swapper/1,0,0

0,swapper/1,0,0,2623,nautilus,76056308324,29538673819

2623,nautilus,76056346022,29538711517,0,swapper/1,0,0

0,swapper/1,0,0,2623,nautilus,76056346022,29538711517

2623,nautilus,76056504809,29538870304,0,swapper/1,0,0

0,swapper/1,0,0,2623,nautilus,76056504809,29538870304

2623,nautilus,76056742846,29539108341,0,swapper/1,0,0

0,swapper/1,0,0,2623,nautilus,76056742846,29539108341

2623,nautilus,76056755854,29539121349,0,swapper/1,0,0

0,swapper/1,0,0,2623,nautilus,76056755854,29539121349

2623,nautilus,76056826085,29539191580,0,swapper/1,0,0

0,swapper/1,0,0,2623,nautilus,76056826085,29539191580

2623,nautilus,76056841366,29539206861,0,swapper/1,0,0

0,swapper/1,0,0,2623,nautilus,76056841366,29539206861

2623,nautilus,76056869091,29539234586,0,swapper/1,0,0

0,swapper/1,0,0,2623,nautilus,76056869091,29539234586

2623,nautilus,76056925272,29539290767,0,swapper/1,0,0

0,swapper/1,0,0,2623,nautilus,76056925272,29539290767

2623,nautilus,76057184173,29539549668,0,swapper/1,0,0

0,swapper/1,0,0,2623,nautilus,76057184173,29539549668

2623,nautilus,76057276900,29539642395,0,swapper/1,0,0

0,swapper/1,0,0,2623,nautilus,76057276900,29539642395

2626,gmain,102775048778,555314747,0,swapper/0,0,0

0,swapper/0,0,0,2626,gmain,102775048778,555314747

2626,gmain,102775179861,555445830,11089,nautilus,102790452482,0

11089,pool,102790621511,169029,11090,nautilus,102799551677,0

11090,pool,102799562561,10884,0,swapper/0,0,0

0,swapper/0,0,0,11089,pool,102790621511,169029

11089,pool,102790694786,242304,0,swapper/0,0,0

0,swapper/0,0,0,11090,pool,102799562561,10884

11090,pool,102799645598,93921,0,swapper/0,0,0

0,swapper/0,0,0,11089,pool,102790694786,242304

11089,pool,102790773564,321082,1227,gmain,102791347930,185134862

1227,gmain,102791405020,185191952,0,swapper/0,0,0

0,swapper/0,0,0,11090,pool,102799645598,93921

11090,pool,102799721187,169510,0,swapper/0,0,0

0,swapper/0,0,0,11089,pool,102790773564,321082

11089,pool,102790839720,387238,0,swapper/0,0,0

0,swapper/0,0,0,11090,pool,102799721187,169510

0,swapper/2,0,0,867,in:imklog,637248150,1323728423

2623,nautilus,76058469368,29540834863,199,systemd-journal,846851691,6056867063

11090,pool,102799813699,262022,0,swapper/0,0,0

0,swapper/0,0,0,868,rs:main Q:Reg,642720091,1354236280

867,in:imklog,637451234,1323931507,7,rcu_sched,846928075078,9976988331

7,rcu_sched,846928084691,9976997944,867,in:imklog,637451234,1323931507

867,in:imklog,637519585,1323999858,0,swapper/2,0,0

0,swapper/2,0,0,867,in:imklog,637519585,1323999858

867,in:imklog,637596537,1324076810,0,swapper/2,0,0

0,swapper/2,0,0,867,in:imklog,637596537,1324076810

867,in:imklog,637671148,1324151421,0,swapper/2,0,0

0,swapper/2,0,0,867,in:imklog,637671148,1324151421

867,in:imklog,637727939,1324208212,0,swapper/2,0,0

0,swapper/2,0,0,867,in:imklog,637727939,1324208212

867,in:imklog,637783652,1324263925,0,swapper/2,0,0

0,swapper/2,0,0,867,in:imklog,637783652,1324263925

867,in:imklog,637832460,1324312733,0,swapper/2,0,0

0,swapper/2,0,0,867,in:imklog,637832460,1324312733

867,in:imklog,637875657,1324355930,0,swapper/2,0,0

0,swapper/2,0,0,867,in:imklog,637875657,1324355930

867,in:imklog,637931995,1324412268,0,swapper/2,0,0

0,swapper/2,0,0,867,in:imklog,637931995,1324412268

867,in:imklog,637982774,1324463047,0,swapper/2,0,0

0,swapper/2,0,0,867,in:imklog,637982774,1324463047

868,rs:main Q:Reg,643449970,1354966159,0,swapper/0,0,0

0,swapper/0,0,0,868,rs:main Q:Reg,643449970,1354966159

867,in:imklog,638130780,1324611053,0,swapper/2,0,0

0,swapper/2,0,0,867,in:imklog,638130780,1324611053

867,in:imklog,638215527,1324695800,0,swapper/2,0,0

0,swapper/2,0,0,867,in:imklog,638215527,1324695800

867,in:imklog,638255389,1324735662,0,swapper/2,0,0

0,swapper/2,0,0,867,in:imklog,638255389,1324735662

867,in:imklog,638384666,1324864939,0,swapper/2,0,0

0,swapper/2,0,0,867,in:imklog,638384666,1324864939

867,in:imklog,638421776,1324902049,0,swapper/2,0,0

0,swapper/2,0,0,867,in:imklog,638421776,1324902049

867,in:imklog,638482520,1324962793,0,swapper/2,0,0

0,swapper/2,0,0,867,in:imklog,638482520,1324962793

867,in:imklog,638520311,1325000584,0,swapper/2,0,0

868,rs:main Q:Reg,643962606,1355478795,0,swapper/0,0,0

199,systemd-journal,850322580,6060337952,2623,nautilus,76058469368,29540834863

0,swapper/0,0,0,11089,pool,102790839720,387238

11089,pool,102790929024,476542,0,swapper/0,0,0

0,swapper/0,0,0,11090,pool,102799813699,262022

11090,pool,102799886085,334408,0,swapper/0,0,0

0,swapper/0,0,0,11089,pool,102790929024,476542

11089,pool,102790995135,542653,0,swapper/0,0,0

0,swapper/0,0,0,11090,pool,102799886085,334408

0,swapper/2,0,0,867,in:imklog,638520311,1325000584

11090,pool,102799978066,426389,0,swapper/0,0,0

0,swapper/0,0,0,868,rs:main Q:Reg,643962606,1355478795

867,in:imklog,638592560,1325072833,0,swapper/2,0,0

0,swapper/2,0,0,867,in:imklog,638592560,1325072833

867,in:imklog,638641722,1325121995,0,swapper/2,0,0

0,swapper/2,0,0,867,in:imklog,638641722,1325121995

868,rs:main Q:Reg,644044661,1355560850,11089,pool,102790995135,542653

11089,pool,102791068657,616175,868,rs:main Q:Reg,644044661,1355560850

867,in:imklog,638775621,1325255894,0,swapper/2,0,0

0,swapper/2,0,0,867,in:imklog,638775621,1325255894

868,rs:main Q:Reg,644151753,1355667942,11090,pool,102799978066,426389

867,in:imklog,638836392,1325316665,0,swapper/2,0,0

11090,pool,102800053522,501845,868,rs:main Q:Reg,644151753,1355667942

868,rs:main Q:Reg,644243891,1355760080,11089,pool,102791068657,616175

11088,cc1,1789240845,31417517,1188,alsa-sink-ALC26,0,7819420931

11089,pool,102791141998,689516,868,rs:main Q:Reg,644243891,1355760080

868,rs:main Q:Reg,644276226,1355792415,0,swapper/0,0,0

0,swapper/0,0,0,1181,pulseaudio,240845017,6998658622

1188,alsa-sink-ALC26,0,7819605651,11088,cc1,1789240845,31417517

1181,pulseaudio,240855078,6998775702,8938,threaded-ml,102794790120,4074358401

0,swapper/2,0,0,8942,aqueue:src,74223021334,3129108776

8938,threaded-ml,102794855863,4074424144,11089,pool,102791141998,689516

2623,nautilus,76059864323,29542229818,199,systemd-journal,850322580,6060337952

11089,pool,102791283841,831359,8938,threaded-ml,102794855863,4074424144

8942,aqueue:src,74223163164,3129250606,0,swapper/2,0,0

0,swapper/2,0,0,8942,aqueue:src,74223163164,3129250606

8938,threaded-ml,102794955324,4074523605,11090,pool,102800053522,501845

11090,pool,102800063344,511667,1181,pulseaudio,240855078,6998775702

8942,aqueue:src,74223188795,3129276237,8938,threaded-ml,74218245699,4074523605

11088,cc1,1789616174,31792846,1188,alsa-sink-ALC26,0,7819605651

8938,threaded-ml,74218292780,4074570686,8942,aqueue:src,74223188795,3129276237

8942,aqueue:src,74223232979,3129320421,8938,threaded-ml,74218292780,4074570686

1188,alsa-sink-ALC26,0,7819670111,8941,mpegaudioparse0,106385256759,11876348050

8938,threaded-ml,74218304770,4074582676,8942,aqueue:src,74223232979,3129320421

8941,mpegaudioparse0,106385263129,11876354420,1188,alsa-sink-ALC26,0,7819670111

8942,aqueue:src,74223240107,3129327549,8938,threaded-ml,74218304770,4074582676

1181,pulseaudio,240865772,6998900154,0,swapper/0,0,0

0,swapper/0,0,0,1181,pulseaudio,240865772,6998900154

8938,threaded-ml,74218325905,4074603811,8942,aqueue:src,74223240107,3129327549

8942,aqueue:src,74223245829,3129333271,0,swapper/2,0,0

1188,alsa-sink-ALC26,0,7819703134,8941,mpegaudioparse0,106385263129,11876354420

8941,mpegaudioparse0,106385279389,11876370680,1188,alsa-sink-ALC26,0,7819703134

1181,pulseaudio,240869321,6998941462,0,swapper/0,0,0

1188,alsa-sink-ALC26,0,7819727460,8941,mpegaudioparse0,106385279389,11876370680

8941,mpegaudioparse0,106385948467,11877039758,11088,cc1,1789616174,31792846

0,swapper/2,0,0,582,gmain,152842929,338255752

582,gmain,152912725,338325548,0,swapper/2,0,0

199,systemd-journal,852262270,6062277642,2623,nautilus,76059864323,29542229818

0,swapper/0,0,0,11089,pool,102791283841,831359

11089,pool,102791364496,912014,0,swapper/0,0,0

0,swapper/0,0,0,11090,pool,102800063344,511667

11090,pool,102800131841,580164,0,swapper/0,0,0

0,swapper/0,0,0,11089,pool,102791364496,912014

11089,pool,102791424730,972248,0,swapper/0,0,0

0,swapper/0,0,0,11090,pool,102800131841,580164

11090,pool,102800191956,640279,0,swapper/0,0,0

0,swapper/0,0,0,11089,pool,102791424730,972248

11089,pool,102791484221,1031739,0,swapper/0,0,0

0,swapper/0,0,0,11090,pool,102800191956,640279

11090,pool,102800256163,704486,0,swapper/0,0,0

0,swapper/0,0,0,11089,pool,102791484221,1031739

11089,pool,102791544907,1092425,0,swapper/0,0,0

0,swapper/0,0,0,11090,pool,102800256163,704486

11090,pool,102800315120,763443,0,swapper/0,0,0

0,swapper/0,0,0,11089,pool,102791544907,1092425

11089,pool,102791603865,1151383,0,swapper/0,0,0

0,swapper/0,0,0,11090,pool,102800315120,763443

11088,cc1,1791705686,33882358,199,systemd-journal,1487680416,6062277642

0,swapper/2,0,0,7,rcu_sched,846929481058,9976997944

7,rcu_sched,846929497443,9977014329,867,in:imklog,638836392,1325316665

11090,pool,102800419948,868271,0,swapper/0,0,0

0,swapper/0,0,0,11089,pool,102791603865,1151383

11089,pool,102791666005,1213523,0,swapper/0,0,0

0,swapper/0,0,0,868,rs:main Q:Reg,644276226,1355792415

868,rs:main Q:Reg,644284168,1355800357,11090,pool,102800419948,868271

867,in:imklog,639016016,1325496289,0,swapper/2,0,0

11090,pool,102800476747,925070,868,rs:main Q:Reg,644284168,1355800357

0,swapper/2,0,0,867,in:imklog,639016016,1325496289

867,in:imklog,639072806,1325553079,0,swapper/2,0,0

0,swapper/2,0,0,867,in:imklog,639072806,1325553079

868,rs:main Q:Reg,644358335,1355874524,11089,pool,102791666005,1213523

11089,pool,102791725965,1273483,868,rs:main Q:Reg,644358335,1355874524

867,in:imklog,639193058,1325673331,0,swapper/2,0,0

0,swapper/2,0,0,867,in:imklog,639193058,1325673331

868,rs:main Q:Reg,644434994,1355951183,11090,pool,102800476747,925070

11090,pool,102800537213,985536,868,rs:main Q:Reg,644434994,1355951183

868,rs:main Q:Reg,644510145,1356026334,11089,pool,102791725965,1273483

11089,pool,102791784489,1332007,868,rs:main Q:Reg,644510145,1356026334

867,in:imklog,639452932,1325933205,0,swapper/2,0,0

0,swapper/2,0,0,867,in:imklog,639452932,1325933205

868,rs:main Q:Reg,644591042,1356107231,11090,pool,102800537213,985536

11090,pool,102800601490,1049813,868,rs:main Q:Reg,644591042,1356107231

868,rs:main Q:Reg,644658134,1356174323,11089,pool,102791784489,1332007

867,in:imklog,639648250,1326128523,0,swapper/2,0,0

11089,pool,102791841939,1389457,868,rs:main Q:Reg,644658134,1356174323

868,rs:main Q:Reg,644733375,1356249564,11090,pool,102800601490,1049813

11090,pool,102800660897,1109220,868,rs:main Q:Reg,644733375,1356249564

868,rs:main Q:Reg,644813000,1356329189,11089,pool,102791841939,1389457

11089,pool,102791900722,1448240,868,rs:main Q:Reg,644813000,1356329189

868,rs:main Q:Reg,644886386,1356402575,11090,pool,102800660897,1109220

11090,pool,102800716911,1165234,868,rs:main Q:Reg,644886386,1356402575

868,rs:main Q:Reg,644951448,1356467637,0,swapper/0,0,0

0,swapper/0,0,0,11089,pool,102791900722,1448240

11089,pool,102791957051,1504569,0,swapper/0,0,0

0,swapper/0,0,0,11090,pool,102800716911,1165234

11090,pool,102800771573,1219896,0,swapper/0,0,0

0,swapper/0,0,0,11089,pool,102791957051,1504569

11089,pool,102792010080,1557598,0,swapper/0,0,0

0,swapper/0,0,0,11090,pool,102800771573,1219896

11090,pool,102800850861,1299184,2626,gmain,102791850861,555445830

2626,gmain,102791861723,555456692,11090,pool,102800850861,1299184

11090,pool,102800855400,1303723,2626,gmain,102791861723,555456692

2626,gmain,102791873969,555468938,11090,pool,102800855400,1303723

11090,pool,102801102161,1550484,0,swapper/0,0,0

199,systemd-journal,1489822992,6064420218,11088,cc1,1791705686,33882358

0,swapper/0,0,0,11089,pool,102792102161,1557598

2623,nautilus,76063492098,29545857593,0,swapper/1,0,0

0,swapper/1,0,0,2623,nautilus,76063492098,29545857593

11089,pool,102792378690,1834127,0,swapper/0,0,0

2623,nautilus,76063615661,29545981156,0,swapper/1,0,0

0,swapper/2,0,0,867,in:imklog,639648250,1326128523

0,swapper/0,0,0,199,systemd-journal,2239710308,6064420218

0,swapper/1,0,0,868,rs:main Q:Reg,595839237,1356467637

867,in:imklog,639760622,1326240895,0,swapper/2,0,0

0,swapper/2,0,0,867,in:imklog,639760622,1326240895

867,in:imklog,639808336,1326288609,0,swapper/2,0,0

0,swapper/2,0,0,867,in:imklog,639808336,1326288609

867,in:imklog,639865617,1326345890,0,swapper/2,0,0

0,swapper/2,0,0,867,in:imklog,639865617,1326345890

867,in:imklog,639913303,1326393576,0,swapper/2,0,0

0,swapper/2,0,0,867,in:imklog,639913303,1326393576

867,in:imklog,639963865,1326444138,0,swapper/2,0,0

0,swapper/2,0,0,867,in:imklog,639963865,1326444138

867,in:imklog,640039437,1326519710,0,swapper/2,0,0

0,swapper/2,0,0,867,in:imklog,640039437,1326519710

867,in:imklog,640076859,1326557132,0,swapper/2,0,0

0,swapper/2,0,0,867,in:imklog,640076859,1326557132

867,in:imklog,640149146,1326629419,0,swapper/2,0,0

868,rs:main Q:Reg,596308199,1356936599,0,swapper/1,0,0

199,systemd-journal,2240624363,6065334273,0,swapper/0,0,0

0,swapper/0,0,0,8960,kworker/0:2,744596520417,115332338

0,swapper/1,0,0,7,rcu_sched,1263768259332,9977014329

0,swapper/2,0,0,867,in:imklog,640149146,1326629419

7,rcu_sched,1263768269418,9977024415,0,swapper/1,0,0

8960,kworker/0:2,744596559895,115371816,199,systemd-journal,2240624363,6065334273

0,swapper/1,0,0,868,rs:main Q:Reg,596308199,1356936599

867,in:imklog,640275479,1326755752,0,swapper/2,0,0

868,rs:main Q:Reg,596433923,1357062323,0,swapper/1,0,0

199,systemd-journal,2240939627,6065649537,0,swapper/0,0,0

0,swapper/2,0,0,582,gmain,152912725,338325548

582,gmain,153087069,338499892,0,swapper/2,0,0

0,swapper/0,0,0,8960,kworker/0:2,744596559895,115371816

8960,kworker/0:2,744596577008,115388929,0,swapper/0,0,0

0,swapper/2,0,0,867,in:imklog,640275479,1326755752

0,swapper/0,0,0,3,ksoftirqd/0,744596520417,1009783684

3,ksoftirqd/0,744596545709,1009808976,199,systemd-journal,2240939627,6065649537

0,swapper/1,0,0,868,rs:main Q:Reg,596433923,1357062323

867,in:imklog,640354781,1326835054,0,swapper/2,0,0

0,swapper/2,0,0,867,in:imklog,640354781,1326835054

867,in:imklog,640410900,1326891173,582,gmain,153087069,338499892

582,gmain,153116574,338529397,867,in:imklog,640410900,1326891173

867,in:imklog,640475525,1326955798,0,swapper/2,0,0

0,swapper/2,0,0,867,in:imklog,640475525,1326955798

867,in:imklog,640508376,1326988649,0,swapper/2,0,0

868,rs:main Q:Reg,596696916,1357325316,0,swapper/1,0,0

199,systemd-journal,2241516855,6066226765,0,swapper/0,0,0

0,swapper/2,0,0,867,in:imklog,640508376,1326988649

0,swapper/1,0,0,7,rcu_sched,1263768269418,9977024415

0,swapper/0,0,0,199,systemd-journal,2241516855,6066226765

7,rcu_sched,1263768289430,9977044427,0,swapper/1,0,0

0,swapper/1,0,0,868,rs:main Q:Reg,596696916,1357325316

867,in:imklog,640626747,1327107020,0,swapper/2,0,0

868,rs:main Q:Reg,596817879,1357446279,0,swapper/1,0,0

199,systemd-journal,2241828354,6066538264,0,swapper/0,0,0

0,swapper/2,0,0,867,in:imklog,640626747,1327107020

0,swapper/0,0,0,3,ksoftirqd/0,744596545709,1009808976

3,ksoftirqd/0,744596564113,1009827380,199,systemd-journal,2241828354,6066538264

